oenum,oeschool_ocr,oeschool
1001920,2063,2063
1001920,1268,1268
1002370,1256,1256
1418390,4827,4827
1001920,2102,2102
1002370,419,419
1001920,1352,1352
2001740,384,384
1001920,255,255
1001920,782,782
1001920,1412,1412
1900390,740,740
1002370,1764,1764
1002370,1939,1939
1002370,293,293
2001740,1141,1141
4504362,267,267
4504407,1410,1410
1001920,54,54
1001920,1003,1003
1001920,1146,1146
1900390,342,342
3216440,530,530
1001920,483,483
1002490,1363,1363
1001920,1477,1477
1002370,45,45
1002370,208,208
1002370,1317,1317
1900390,1227,1227
1900390,1584,1584
1901500,578,578
1901500,892,892
3220340,1753,1753
3212480,887,887
3220280,1747,1747
3216440,2522,2522
3216440,3241,3241
4504507,4102,4102
5334320,2141,2141
1002370,177,177
4708830,966,966
5323640,3598,3598
5323640,4658,4658
5338730,1657,1657
1000390,2051,2051
1001920,1781,1781
5002310,628,628
1000390,1538,1538
1001920,2029,2029
1000390,805,805
1001920,598,598
1000390,327,327
4504371,2012,2012
4504371,2089,2089
4504516,3113,3113
4504516,4163,4163
4504348,407,407
4504348,949,949
4504348,1027,1027
4504348,1169,1169
4504348,1869,1869
4504348,2756,2756
4504348,3504,3504
4504353,154,154
4504380,376,376
4504380,560,560
4504380,4273,4273
4504380,951,951
4504380,2516,2516
4504380,2755,2755
4504380,2768,2768
4504380,3506,3506
4504380,3910,3910
4504380,4052,4052
4504380,4096,4096
4504485,3630,3630
4708830,199,199
4708830,781,781
5603240,846,846
4504370,2419,2419
4504371,2384,2384
4504450,1675,1675
4504488,3689,3689
4504513,4228,4228
4504516,585,585
4504516,950,950
4504516,2759,2759
4504516,3505,3505
1601920,113,113
1601920,1068,1068
3111130,435,435
1000390,146,146
1000390,668,668
1000390,1005,1005
1000390,1078,1078
1001920,1311,1311
1000390,1625,1625
1001920,2125,2125
1000390,2195,2195
1000390,2129,2129
1001920,2130,2130
1001440,698,698
1002370,136,136
1002370,1396,1396
1002370,1955,1955
1002370,1962,1962
1002370,2071,2071
1002370,2173,2173
1313110,1278,1278
1434170,1251,1251
1422710,6276,6276
1601920,428,428
1900390,2080,2080
